id,order,x,y,z
19,2,-2670327.522839344,-4469714.840319984,3671566.7820689315
20,0,-2670320.560151726,-4469692.350116666,3671598.266916783
20,1,-2670319.453201669,-4469692.808731582,3671598.443033107
20,2,-2670320.018167338,-4469691.822459378,3671599.1411191626
21,0,-2670320.8084622747,-4469691.796585427,3671598.756872714
21,1,-2670320.560151726,-4469692.350116666,3671598.266916783
21,2,-2670320.018167338,-4469691.822459378,3671599.1411191626
22,0,-2670324.5969244936,-4469692.904021869,3671594.369437152
22,1,-2670325.7394054546,-4469691.836126312,3671594.800779589
22,2,-2670325.6426048246,-4469692.724240896,3671594.090432147
23,0,-2670325.887964517,-4469711.258493814,3671572.2947769975
23,1,-2670326.7937319973,-4469710.912716538,3671572.14484487
23,2,-2670326.9972141427,-4469711.4835227365,3671571.3248302373
24,0,-2670321.6777054183,-4469688.140298467,3671602.446595301
24,1,-2670320.8704871093,-4469688.126804819,3671603.0461533247
24,2,-2670321.7177252225,-4469687.49954751,3671603.0370403375
25,0,-2670350.0734461993,-4469697.780836477,3671576.8362165634
25,1,-2670351.009272108,-4469699.098863763,3671578.6950201266
25,2,-2670349.13158022,-4469694.906442652,3671574.428013543
26,0,-2670351.0391867124,-4469701.015226002,3671565.558796846
26,1,-2670350.3811462247,-4469701.814751373,3671564.9464810304
26,2,-2670350.175078394,-4469701.298938048,3671565.822791945
27,0,-2670311.410223985,-4469698.853559614,3671597.1172542972
27,1,-2670309.444008672,-4469702.693573555,3671594.032483489
27,2,-2670307.3829095718,-4469705.892006424,3671591.7921096343
28,0,-2670344.8371661482,-4469701.938258292,3671580.0838021343
28,1,-2670344.856041396,-4469702.669139502,3671579.324529091
28,2,-2670344.4498734046,-4469702.282820151,3671580.1024457156
29,0,-2670321.318789291,-4469718.01237779,3671567.1178543274
29,1,-2670321.31976395,-4469718.397565781,3671566.599520838
29,2,-2670320.239145934,-4469718.3306528535,3671567.4785012277
30,0,-2670321.31976395,-4469718.397565781,3671566.599520838
30,1,-2670319.6858537365,-4469719.149150481,3671566.905753155
30,2,-2670320.239145934,-4469718.3306528535,3671567.4785012277
